"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36750.3980940368","","","",
"Africa Eastern and Southern","AFE","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2554.59525733735","2495.96695319721","2421.78798283729","2397.01279033584","2389.70530902343","2421.86480212167","2478.83689715878","2491.4233633157","2471.2434606407","2463.62738261728","2486.02745117839","2502.49391602813","2568.55511668607","2605.80296823156","2682.06616552773","2779.62169975203","2875.88318191544","2998.52240142228","3038.27042816382","3036.41689220213","3081.78713159882","3213.78125508875","3272.07429837582","3337.89929345823","3414.27414581535","3448.62845562829","3445.47734688033","3461.69949969222","3463.30282265615","3459.13675243017","3284.97691961671",
"Afghanistan","AFG","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2085.48757053646","","","",
"Africa Western and Central","AFW","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2644.39021337579","2603.7209833725","2586.26771119201","2432.44031992365","2391.47559501482","2376.36283854868","2425.02540091357","2452.44713310737","2472.66422695556","2466.86424453865","2348.99367453807","2487.12800772978","2680.26653062228","2751.76652298792","2888.24035751499","2961.69867193759","3201.30703340456","3238.14573701625","3347.20644863705","3459.68737806864","3558.29789762168","3630.20903903302","3732.08579808095","3863.3147921001","4045.77668960722","4085.20239549414","3998.27897698059","3965.33365966982","3947.58900155565","3998.4524001761","3845.82782902046",
"Angola","AGO","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3690.60485694596","3900.71037247327","4659.95446648686","4684.38482834386","4929.94548426249","5390.6996480226","5672.12646425021","6359.18137614169","6490.78773731813","6999.17540472388","6911.74024129715","6885.53639037758","7280.84566593037","7478.10477735853","7704.23194912203","7652.65648646436","7189.42667231326","6861.57573837968","6381.52194612232","6082.74662363013","5734.98573722839",
"Albania","ALB","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9955.15890868613","10152.3891306112","10642.626833375","11056.5133839764","11146.9879028037","11553.0548530486","11692.6468471362","12015.6341017468","12485.2672192352","12804.364911639","13310.4473314789","","",
"Andorra","AND","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11421.3433323597","11427.0141501838","11189.37738166","11690.70540791","12221.5926535934","12581.7051554451","12996.7195017483","13336.3550945545","13780.9018724862","13525.3501265843","13670.4290323457","14079.7889052742","14454.2527995556","14647.7616951998","14822.7404887336","15118.3896198105","15364.2457375779","15214.706323674","15201.1334512268","15151.5978258545","14553.5121940547",
"United Arab Emirates","ARE","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103519.053678029","96736.9255567243","97761.5373164975","98236.0775925692","92443.5563891733","88502.5122520089","79459.2630357014","69814.6313650436","59017.2610600699","54911.2223956605","56152.9684594123","57447.338334165","60007.2939477077","62499.7503568253","65528.5908735157","66881.3390633204","67667.5084573543","67195.0952293201","67462.1160169544","",
"Argentina","ARG","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13596.5237973023","14802.7331840023","15939.3631359141","17131.2196902312","17873.3157444736","17090.3099712185","17781.3250920056","18982.9810980694","19425.4223696859","18534.1961934558","18178.8954372513","17151.831151555","14726.5915271639","16055.8378979442","16057.1705860168","17269.5878690779","20124.065883722","21866.5275081158","22550.5203121444","20876.9419186294","22726.5519019923","23946.2939591564","23515.8309524042","23851.3680209815","23047.1488528377","23465.8322062522","22696.2204405672","22996.5735194639","21895.983979918","21152.8456660886","19158.2833848312",
